id	text_cleaned
75	sieg heil kamerad and not all is doom and gloom httpsarchive4plebsorgpolthread384712214384712214 video to picrel httpsstreamablecomddt976 the plan for total world conquest jwo that wa suppos to start in 2030 agenda2030 ha been sneakili brought forward 10 year 2020 and the jew have been forc to move in an increasingli uncoordin unsil unfleeck manner in short like thiev in a glass hous they are now run around make a big racket and destroy everyth and wake up their victim who the jew and their golem will have a nice farewel parti that whi the jew rush thing if the jew had total control over thing then they would have implement agenda 2030 with small step so a not to wake up the peopl when your in control it doesnt matter 50 or 100 year but someth or someon turn their plan upsid down in such a way that they know they have no chanc of success but given their destruct mental the jew prefer scorch earth tactic also their stupid christcuck abraham messiah psi op is collaps into itself faster then they want or anticip so they are tri to speed run their plan to the end game make a huge racket a they tri to salvag their cun multimillennia plan to take over the world use typic jewish kvetch bullshit unfortun for them or fortun for u jew suck dick and ball at actual warfar and project their arrog too much they nut in their pant too soon and peopl can see the stain the acceler jewish corrupt of the world in the past few year is all a worldwid samson option scorch earth the jew want to destroy and corrupt a much a possibl befor the final liber by the imperi german reichsdeutsch that is if their end is near then they intend to drag the world down with them
76	the jew want a race war becaus they want black peopl to kill christian
77	im gon na start call antiwhit europhob or caucaphob mayb just whitephob and make them into bigot
78	antiwhit dont want white take a stand against white erasur
79	too mani white are just live for the moment and while theyr do that antiwhit are smear their past and white era their futur whitegenocid waronwhit itsokaytobewhit itsoktobewhit trump trump2024 maga
80	ani group that ha commit mass genocid ha openli deni it onli natur that you antiwhit would do the same between that and your td i am surpris your not regularli prone to seizur you probabl also deni the genocid of tibetan
81	the malign antiwhit thay control the institut of power lead peopl to suffer and the grave the good news is that we have a solut to the problem that they repres
82	absolut correct i am done be bulli by these self hate derang antiwhit
83	thi is absolut right racism wa implement and it use onli against white peopl nobodi never claim that now white are subject of racist anti white all our valu are turn against u and convert for hate speech antisemit and xenophobia to silenc u
84	white men built the western world mayb it time for these antiwhit to show some gratitud instead and let white men do their job
85	white peopl arent even repres in our own countri both nativesettl yet antiwhit continu to push a lie that white peopl have undeserv powerwhat is undeserv is that those with power attack our racespread lie about u whitegenocid
86	they dont want u they dont respect u they attack u and they kill u dont believ social medium wake up white peopl all around the world whitelivesmatt
87	everi day that pas our chanc to win grow smaller our enemi strengthen a we grow weaker will you sit idli by or will you fight for your peopl there is no polit solut wlmusamontanachat wlmusamontana whitelivesmatteroffici
88	do not allow those who wish for our extinct to be baron of these land fore our father settl them do not allow your heart to be corrupt by the modern degeneraci instead fight for a better futur for our kin the time is now brother and sister do not falter make your ancestor proud xiv join the main channel to see all the activ be done by brave white warrior everywher whitelivesmatteroffici whitelivesmatterofficialchat
89	just a friendli remind to everyon you dont need anyon permiss to be prowhit nor do you owe anyon an explan for be prowhit your allow to love your own race whether anyon like it or not anyon who tell you differ simpli hate white peopl get out there and do your part help u spread awar and stop the persecut of our peopl by anti white wlmusaillinoischat wlmusaillinoi whitelivesmatteroffici
90	what have u done to end white genocid ill tell u it doesnt take much to get involv a sharpi and a piec of paper can go along way sticker and flyer are nice but u dont need ani of that to get start get out there and get activ today wlmusaillinoischat wlmusaillinoi whitelivesmatteroffici
91	get out there and do someth for your race thi weekend it doesnt take much to put to put up a sticker or flyer do your part thi weekend and help end white genocid wlmusaillinoischat wlmusaillinoi whitelivesmatteroffici
92	despit what the troll and our enemi say regardless of religion class or creed you given two choic in the establish you either fight hard and improv yourself and take a stand against the system and the antiwhit societi or you can keep sit on your as get more cowardli and weaker do noth to stand up for yourself or your peopl thi messag is for the discourag who ever you are never be afraid to be white you are your ancestor last chanc to live on honor them the system might toler an inact lifestyl but we wont 14 wlmusaalabama whitelivesmatteroffici
93	when they start slaughter white there will be no sanction there will be no outrag and anyon that doe attempt to discus what is happen will be censor the same western govern that have pour billion into the conflict in the ukrain will not commit a singl penni to help white south african
94	i guess word didnt get to the drag queen that thi is pa town
95	while asylum seeker are be put up in three and fourstar hotel with free wifi and cater food in scotland scottish homeless peopl are be forc into place like the queen park hotel in glasgow when a team from a newspap visit they found smash window broken furnitur crumbl wall stain mattress and carpet amongst other thing for thi the hotel receiv ï¿½2400 a month for a coupl and ï¿½1200 for a singl room the council are wast massiv amount of public money forc peopl into substandard accommod the indigen popul of thi countri receiv secondclass treatment while socal asylum seeker live in comfort comfort that they complain about a our peopl struggl on our homeless deserv a better deal
96	we are in everi citi of everi state you soyboy are still hold secret meet while we continu to gain commun support antifa and blm time is number when they start to riot befor midterm they got surpris come i hope theyr angrier and more organ than ever caus theyr gon na need it or eat concret
97	it about time we have peopl stand up for the simpl fact that it ok to be white
98	jew eat babi it is a part of jew heritag jew have been drink christian babi boy blood for thousand of year they are at war with christian who dont condon poke babi with sharp object to make them bleed then consum the blood to get high and for their spiritu religi purpos
99	the left lgbtqxyz movement is full of sick crimin that need to be dealt with swiftli and strongli drag queen show in gay bar in dalla tx for child is unaccept
100	the toxic antiwhit and antimal garbag pump out by big movi studio is final receiv so much push back that big budget film are be can
101	european and descend of european not matter where you live listen up they hate you and they want your child and grandchild to bear no resembl to you and your kin
102	too white when they call footbal team too white they are say england is too white they are say you are too white they want to creat guilt which they can then exploit it is anti white hatr do not accept it
103	stop whitegenocid might realli requir a continu presenc of race realism and white advocaci on televis or youtub to racial white
104	if you are parrot everyth the govern tell you it time to serious reevalu your mental state it one thing to come to a conclus base on your own rationalis howev we all know that not what is happen with social medium slacktivist and basic bitch
105	the bigger the govern the smaller the citizen
106	just wait until the normi find out the feder govern plan januari 6th and frame it own citizen for it it will be a whole new layer of sheep that will wake up
107	the u violat our first ammend right everi day they jail journalist who expo the truth and censor inform that expo truth that are inconveni for their lobbyist mayb if they were honest and got rid of it the normi will actual wake up and riot
108	the western world is count on u so wake up the normi and prepar for glori let grind marxism into dust the west is the best it okay to be white thought polic in the street censor our freedom of speech we say no
109	antiwhit is the greatest evil of our age and we must work collect to put a stop to it by go free of the antiwhit narr and call it out
110	black are so out of control they are hunt elderli white woman they are tri to aveng the origin georg floyd they cant figur out who their dad are but they wa egyptian king and will find a ladi from the 1950
111	let get all the white peopl out of africabut of cours by default all african in the uk will have to go to africa swing and roundabout
112	apartheid wasnt so bad after all thi stori is buri becaus it show case the fact that white creat modern high standard of live thru rule of law and anti dysgenia and few other can follow except northeast asia while the rest cant maintain if it hand on a plater
113	shut up jew it took you 2000 year of word of mouth until the talmud final wa written down either you were profession broken telephon player or your just spread more of your jewish shit on the floor 6 million wasnt enough
114	my dear fren today i thought of discus a more entertain subject which would serv to classifi each negro and classifi hi obnoxi degre per countri the more disgustingli unbear they are the lower they get so for instanc jew coon would be in the lower tier while a japanes porch monkey would be rank far higher
115	thi one is for the brave for those who walk the walk 12 day in 2022 each day should be treat a the last battl after all have we watch all these documentari for noth have we watch our woman be rape and child be kill for noth have we suffer thi much to go down in silenc no if you think youll do someth for the race at some point you are wrong if you think thing will fall into place you are wrong if you think the system will collaps and the aryan reich will spawn out of thin air you are wrong we are approach the abyss and ani delay to take real life action and help our peopl gather along racial line is akin to suicid
116	i refus to cave into the zionist plan into divid the ummah from east to west we may have differ but we should be abl to get by them like we did for centuri prior to the 20th centuri both need reform desu we need to find a middl ground to defend our interest from the judeomason menac shia use to be the sword of islam let it be that again turk in their jihad were enslav the popul they control thank god we btfomd the hoard of roach come from the east when they were jihad around north africa base atla mountain can not be taken from u if anyth the beef alway come from the roach side whi are roach so eager to kill and invad
117	390007552 are you a semiretard but train gorilla chimpanze or bonobo that ha been taught to util comput and the internet in a veri basic and simplist fashion that pretti cool that theyv manag to do that if so and im veri happi for you to explor you newfound cognit horizon but plea fellow great ape leav thi bullshit about canada be outsid the zionistculturalmarxist matrix of modern intern financ to your primit past they clearli have vast overrepresent in posit of power and influenc they admit themselv their control of bank and hollywood and it is an object fact their control of our medium just a it is the american we are not special we too are just anoth type of goy slate for replac and genocid through outbreed and eventu violenc they will probabl let great ape like you surviv though hope also ky
118	389990371 there are two issu in america that matter the great replac and jewish control of our institut if your not a part of the solut your a part of the problem i dont accept philosemit puppet ani more i onli support someon who is pro white and anti jewish power if no candid check those box then they dont get support kike need to be remov from power befor white get destroy complet trump wont stop white genocid hi job is to redirect white anger toward a safeti valv that doesnt threaten jewish power if you accept jewish puppet you accept your own destruct
119	rafidah khanzeer alongwith their khawariji and jewish partner assassin and murder the 3 righteou caliph and then brutal massacr ahl bayt in karbala dure the day of judgement these khanzeer will be brought to justic and they wont have anyon to protect them
120	akhi jihad is not all sunshin and rainbow defeat will happen and it is a test from allah is is far from extinct and is on the verg of take over huge land area in west africa for exampl are you blame mujahideen for kuffar destroy syria and iraq audhubillah
121	thi guy say he support israel that politician went to the wail wall he a jew puppet thi is divid and conquer by the jew themselv and a wast of time you have to understand that the jew compromis christian televis channel mega church etc just like they did school and other medium outlet that whi boomer worship them just turn on one of these channel even fox news and youll be bombard with jewish sob stori and commerci about worship israel just like when we were in school read holohoax stori everi season for over 15 year boomer grew up with noth but a televis feed them thi fals inform they didnt have internet like you and me howev they are veri recept to fact and figur and they are onlin now rememb the first ron paul revolut dure the bush year those were boomer and millenni activ fight against the lie and jewish war without much inform at all they were bare onlin back then stop wast time argu with jewish divid and conquer tactic these boomer like desanti your parent other republican have no fact or infograph about epstein be a mossad agent compromis other celeb scientist and politician they have no info about the us liberti lavon affair jew take over christian televis jew blackmail mega church the holohoax jewish histori the talmud etc forc feed them the evid they are recept they will wake up stop fall for jewish divid and conquer
122	jihad will continu until the hour begin with or without you jihad is not in need of men rather it is men who are in need of jihad so much so that allah would deviat some peopl for the muslim to fight
123	the ummah is attack and oppress from everi angl and the land of islam are occupi by kuffar and apost but mh doesnt think there is legitim jihad they get too cozi in the west with their peac dialogu and develop a narrow world view despit their intellect
124	thi is how you get a pile of rubbl for tyrant to rule over instead of a function sharia govern decad of jihad is better than a swift but destruct conclus to a conflict in which nato will do everyth within their power to steer toward their own interest
125	look at thi clearli jew cuck for israel convert ex presid daughter to jew now we got the second presidenti runner up jewsanti also huge cuck for israel while hide behind jessu can we plea open our eye and see that mayb thi is all just a b cultur war where were kill eachoth while the elit zionist or occult laugh at u behind close door their even jewish banker that have litter said trump is better for u aliv then dead get your thumb out ur as
126	muslim who have becom apathet when islam is insult and slander let the kuffar have their ill gain in the dunya for the tine be their day of reckon is fast approach either way and their wealth and public will onli sink them further in to the pit of hell
127	one of the sign of be sincer for jihad is that you prepar for it type of prepar financi physic mental spiritu detach oneself from worldli fiqh of jihad technic learn skill read about the earli battl tahajjud
128	think le about catch up to the kuffar by mean of econom and militari industri and start think more about acquir vast amount of ghaneema from the kuffar instead victori and honour will come onli through jihad fisabilillah
129	what mani muslim men dont realiz is that cook clean and even sew are essenti skill for the mujahid jihad is often compris of fight 510 of the time and the rest is prepar plan guard recruit and train so if you are unabl to look after yourself and other dure these period of downtim then you will be close to useless and a burden to your brother a mujahid must be selfsuffici becaus your mother isnt go to be there to babysit you while you sit around wait for the action so if you intend to go out in the path of allah then it not enough to onli train your fit and combat skill you must becom an asset to the mujahideen in everi way possibl and have the mindset that you are there to serv and not be serv may allah purifi our intent
130	thi is what im talk about ye we a muslim hate darul kufr and ani land which is not rule by sharia and we hate the kuffar who reject allah and hi messeng you say you have no issu yet youv alreadi reveal that you have no understand of al wala wal bara
131	even muslim who have a coven of secur in a non muslim land must violat their coven and wage war against those non muslim when they attack and captur peopl from the khawarij
132	when the ghazwa in india begin it may becom the first jihad in hundr of year to be fought with mostli sword we may veri well have to studi the blade onc more
133	thi is liter what jew believ when it come to nonjew jew have posit themselv a the leadersbenefactor of multipl power nonjewish nation what will be the politicalsociet implic of thi sinc jew view nonjew a noth more than sheep readi to be slaughter httpswwwbitchutecomvideoojbllu2vmfg8
134	rape your child take 10 of your paycheck do kike run everi major christian organ in the world
135	american buffalo were claim to be extinct up until the past 10 year or so ton of movi and govern resourc claim so whi doe thi matter if they can mislabel a creatur and claim it wa genocid whi cant they do the same with peopl in fact it will be even easier becaus of empathi the number of remain bisonbuffalo is anywher from 5000 to 15000 if they cant even get that number correct what make you think they they can calcul a number 428571 time higher how did they decid they were jewish if they cant even decid american bison are american buffalo the danc with wolv idea is a direct refer to the holicaust american buffalo are dead meanwhil bison are disguis a someth el same way jew disguis themselv a jew white have no need for sleight of hand of crafti amongst themselv bevaus they work white are the onli human on earth that whi migger need somebodi to physic remov them from africa they are not nomad they are ape nigger white conquer the world throughout histori becaus they seek out more they move they follow resourc nigger just go back to where they found food befor like a dog that whi welfar exist to feed nigger and subhuman that arent nomad if i cant eat where i live i will find somewher i can if a nigger cant eat they get mad at their surround rather than chang it they are dog return to their food bowl thi is the biggest red pill i am not be iron nor faceti nigger action and behaviour most close resembl that of dog i bet my life i could find a homeless nigger give him food everi day for a month and if i dont show up the next month he starv like a stray anim if your a nigger realli think about thi you feel it in you your a fuck pet we have to take care of so between 5000 and 14000 still exist if they have a 28 differ with a number that low what do you think it is with 6000000
136	390066477 your is a mistak mani peopl make you cant compar a filipino potenti in the unit state with their potenti in the philippin it a system problem in the philippin not an individu problem i dont understand the psycholog but filipino perform much better in the unit state than they do in their own countri compar to other countri the unit state truli is the land of liberti although our govern is becom increasingli corrupt and zionistcontrol
137	after elect day we will need electr compani worker to do their partrememb democrat gather in the big citiesa democrat cant chop wood they cant make a fire without electr they will kill each other fast
138	thi school is forc student to sign a pledg to support blm abort and open border if that isnt evid of antiwhit racism i dont know what is
139	the closer we get to the elect we need to talk in code about plan that republcan will want carri outyou have to start think that democrat are traitorsthey arent your countryman anymor they threw that away when they attack trump and the greatest economyth countri will be so much better without them
140	what should happen to obamashould he be tar and feather for hi crimesjail whippedshould he be drag through the streetswhat is the proper punish for hi crime against human
141	watch oh and im in tallasse alabama right now and anoth thing fick si satan jw bastard im go to expo you until i die whenev that may be fick si boybottisrael whitelivesmatt khazar kidsforcash childtraffick remembergeorgiasenatornancyschaef europa justicefor6 thank lauriedfranklin 270 9784748
142	new video releas languag english the deadli street
143	al azaim medium foundat present new video languag english polytheist are brother to each other
144	tala e al ansar present video releas remain moment 3 the jihad of the believ continu continu your incit
145	doat alfalah the militari train depart present special video releas the detail method to make an automat rifl silenc easili and with cheap and easili avail materi translat to english languag
146	i am live proof that racial puriti is both achiev and ideal for the creation of eugen offspr the racial hygien of a peopl is the most import polici ani state enact and whether or not the power that be are will to admit it or not their power depend on the preserv of the white race they reli on white peopl to construct the weapon that will be use for our extermin i am proud of be of nordicgerman stock and the onli nation i will ever be loyal to is the german reich i have undivid loyalti to the fï¿½hrer and i will do everyth that my superior intellig and stength attribut to my racial pedigre will allow to preserv the exist of the nordic phenotyp that ha endow the most intellectu and creativ among u to help creat civil itself the fall of our nobl race will inevit lead to a period of ignor and barbar that human will never recov from by be an asset to the creation of the nation socialist ideal i am help to not onli save the white race but human itself when we assum power we will bring about a period of german intellectu art cultur invent and prosper that will enlighten human the whole world will know that we were right
147	video how the lgbt agenda target white child the lgbt agenda disproport target white child child from ethnic minor group been spare from event like drag queen stori hour but that isnt the whole stori white child are increasingli be incentivis to identifi a lgbt for a number of social reason odyse httpsodyseecommarkcollett6howthelgbtagendatargetswhitechildren5 bitchut httpswwwbitchutecomvideopzphp9mgucca
148	jew steal land palestin tri to fight back jew cri terror and steal more land how can they do thi so opn and blatantli and no one is stop them becaus jew control your medium and polit
149	antiwhit use slaveri to attack white peopl they dont care about slaveri itself a prove by how they ignor it when the slaver werent white
150	muslim in india are on the verg of be victim of genocid 1 the muslim woman in india are be subject to a seri of horrif atroc and humili at the hand of radic hindu idolat in continu of thi when a muslim sister in karnataka went to colleg wear a hijab she wa surround by radic hindu they start to critic our sister and continu to chant jai shree ram even those radic continu to irrit her by chant jai shree ram when she wa about to speak in front of a camera our muslim sister stood alon against those radic hindu idolat in front of hundr of saffron horn she roar in a fieri voic allahu akbar o muslim brother are you still asleep the idolat surround our sister they are dishonor our sister your sister is call you wake up be angri join the great war of ghazwatul hind
151	390183967 390184101 390184153 dodont listen to him goy shut it down goddamn you jew are realli desper is it so hard for you to accept that your natsoc ideolog have it root on jewish and degeneraci how doe it feel that even juliu evola is disappoint at your ideolog and call it a modernist insan must be hard to cope lmao
152	390181604 ggoy natsoc is realli against u realli adopt it you fuck cattl the game is up mosh you can not fool the gentil anymor with your control op and degener ideolog
153	390169657 demon of rightw polit hitler fuck ruin the rightw percept of polit fuck that sperg jewish pawn you have third positionist chad like franco dolfuss codreanu salazar and primo di rivera that have a coher and solid ideolog yet you retard chose to support hitler and hi autist as if not for the prussian aristocrat the natsoc war machin would have fallen into shred alreadi you can not tell me that hitler sperg out is not plan by the jew themselv to establish israel and further push their kikeri
154	onli khilafa armi can do jihad for the liber of all occupi land of muslim inshallha
155	thegreatawakeninguncensoredtrumpmemesthecabalgaslightingvaxpedopheliamasonsfoxnewsjesuitsilluminativaticancnncovid christianitylockdownaocgoyimknowgreatreplacementcattlehumanitymaskup
156	the great replac theori tuckercarlson greatreplac whitereplac foxnewstoday foxnew rachelmaddow rachelmaddowshow fakenewsmedia newyorkmagazin tuckercarlsonsyndrom
157	advertis for a muslim date websit in the street of pari franc a million muslim in pari and your still singl mass diver and degeneraci in franc ha reach the point of no return whitelivesmatt whitelivesmattertoo alllivesmatt whitegenocideisr gï¿½nocideblanc racismeantiblanc antiwhiterac remigr greatreplac grandremplac whiteminor lawandord stopwhiteh diversityisnotourstrength massdivers stopdivers defendevropa europeforeuropean defendeuropeancultur defendeuropeagainstislam rapefugeesnotwelcom stoptheboat endillegalimmigr stopillegalimmigr stopdegeneraci muzmatch pari parisfr iledefr franc
158	the great replac theori is the american way conserv talk head have attempt to fashion the violenc that these racist conspiraci theori breed a someth jar and unheard of in do so they undermin the atroci legaci of u genocid and the veri real live experi of it countless victim shout to raquelreichard our first coauthor collabor linkinbio greatreplac revisionisthistori matt rourk
159	percentag of u popul identifi a lgbt alarmingli 16 of gen z 19972002 consid themselv a such that is 1 in everi 625 gen z american globalist will claim thi is becaus we are more toler now and not becaus they ram lgbt propaganda down kid throat 247 from the moment they are born sourc statista stoplgbt stopbrainwash educationnotindoctrin familyvalu westerntradit christianeurop judeochristian america stayawayfromourchildren lgbtideolog lgbthistori ideologialgbt rainbowplagu tczowazaraza stopsoro stoptheleft homeschool boycottpublicschool saveourchildren globohomo stopindoctrin rejectmodern embracetradit defendeuropeancultur defendamerica defendthewest greatreplac rainbowplagu lgbt lgbtq 2slgbtqqia
160	kike run jewtub whi so surpris they jew are the most disgust satan lie fuck go palestin kill the fuck disgust degener evil fake hebrew kike
161	kill all nigger on sight kill all kike on sight kill all faggot on sight kill all feminist on sight kill all leftist on sight kill all libshit on sight all problem fix
162	608351497 go be fuck by some desert sandnigg a bit more nigger mutt insectoid will fuck you in the as next hope thi will end all the shit your third world countri pump out in the whole west
163	the thing for me about thi is when i look back lot of game i love had black charact and there inclus wasnt a big deal street of rage had adam perfect dark had a black presid halo had black gener etc but those were differ they werent pander and push a diver agenda they just happen to be black now game are push diver inclus and are shove it down out throat everi singl corpor globohomo aaa titl ha to have black peopl it corpor mandat so now even if a game ha a black charact and it genuin not their intent to pander it too late the well is poison for me i have nigger fatigu and i will not support your game i might not even pirat it they have ruin it altogeth
164	peopl have alway worri about the polit habben no matter what lifetim or era you had in mid15th centuri hungari peasant would still gripe about their local lieg their king the emperor whatev you have is someth your gon na bitch about peopl free to do with their live whatev the fuck they want and some of u will inevit choos to be polit activist even though all polit activ is fundament inact and stagnant historic is the pragmat reconcili with the fact that higher order of collect work are imposs becaus the govern is constantli caught up in it own fealti to the shit that it wa do yesterday and the day befor that and the year befor that and the decad befor that cia glownigg are not concern with make a new communist revolut they are just rat bastard who know that our state order ha fallen victim to the global order and the onli tenuou grasp on control they have left is by obedi to the wef and the jew and the bank system that guarante them for now just a posit for america to remain the global hegemon arbitr of violenc and espionag at least for the time be and ideal in perpetu natsoc would obvious be a paradis in fact i am certain that heaven itself is natsoc i mean come on it obviou god himself is mein furher and all the sinner and demon in hell repres immigr jew fag nigger feminist libtard etc etc etc obvious they are burn in hell but just like the holocaust that never actual happen becaus the point is that they keep on burn forev so obvious they burn in perpetu becaus their livestyl caus them to suffer great anguish and they burn in hell while still aliv befor they actual do die and burn liter dont spend your whole fuck life ob about the polit theatric the movement is grow which is great but dont end up like me
165	i forgot my own age becaus of the covid ob wa i 23 when it start or wa i 25 am i actual 27 now i wasnt 21 that long ago i think i wa 25 then and now what i must be 27 it cant be the math doesnt take but it seem so vivid in my mind the age i am now feel like the age i wa then i cave in to the vaxx pressur septemb 2021 becaus i final got back to work and my job is great a realli good gig it wa but then i lost my job even though i took the death shot becaus of a fat whore a spic fag and a jew cunt am veri proud of myself though i had 3 hr report befor i got can i wa report for be a racist a sexist a transphob and an antisemit then they caught me on camera flip the middl finger and that wa the catalyst to fire me they even allow me to resign formal and have the complaint seal off now i collect unemploy like a nigger and i will find a new posit in the same field and it will be great but until then i am live it up like a real ghetto nigger from the street and so on so on tri to remind my own self not to let the polit agoni eat you away becaus if you are lucki enough to get a good thing go that all you can ask for
166	flat earth religion circumcis delet for not be polit you should onli post polit topic like stonetoss comic with no text i am total tranni and pol is bad actual i am not they will be so mad haha tranni whi are they like thi what are the polit implic of tranni pitbul suck pitbul good actual they suck haha they will be so mad xcountri is not white haha what are the polit implic of nigger i am a nigger wyt woman want da bbc actual i am not they will be so mad haha i hate jew i like jew haha actual i dont they will be so mad janni would make thi board better by just fuck off
167	your god is the jew god and you are be fuck out by the jew tribe that is the sourc of all your problem you stupid nigger of the jew if you worship jew and their god you are a racetraitor cuq to your own race and you will be fuck out and genocid like the nigger you are your religion and your fals ideolog are to blame for all your problem dumb nigger give up christkikian befor it too late and becom a real white man nationalist keep ration and hold onto your lie onli go to get wors
168	fact is we have a lot of enemi in thi world today the kike and the negro are most potent the orient shitskin hispaniolo are lesser the redskin and bomber are a minor enemi but we have stain on our race just like ben klassen said the there are mani white nation that make up our race that we certainli arent proud of the fact is i have had to live and fight day in and day out with all scum nigger mostli becaus they are the worst of the worst but even peopl who look like me but are mut and have a lesser soul kike nigger haji orient shitskin spic have all been on my hitlist but dago wop slavic subhuman spanish bastard greek wog turkomongolian frogleg french rich folk and the actual white trash european who come to canada but dont act canadian and tear down presbytyrian church to creat cathol satan alter i have to deal with these peopl and mani white had to deal with these quasi white but i know mani of you are too afraid to say it i just beat up some dago and put a noos outsid a cathol church im seriou these peopl have no decenc and no human anyon who isnt an north american white or anglocelt german scandinavian is my enemi and should be your if you care discus
169	390149599 390149913 imagin be historian of nigger scumbag and kike
170	15897949 fatass faggot indian ugli nigger kill yourself now you are delay it too much it is not go to fix you are not go to make it just do it alreadi
171	jewish lie your full of shit no italian blood that of quantiti im sick and tire of you dago wop goombah guinea guido go all over here and fuck up everyth you touch you dago got destroy by ethiopia dure rome it wa iberia who did all the shit for the empir while you wop were out there drink have sex and do drug and be degener mussolini got hi fat fuckinf face smash in dure ww2 your peopl are the absolut worst of all nation in europ and even fuck make gypsi look good on occas kill yourself take a cactu and shove it up your gagagool excret asshol shape like your most beauti woman your dirti fuckjng asshol and bleed the fuck out to at least give the world fertil you dago singl handedli destroy the labor movement and spread degeneraci and the most autist form of fascism around the world your genet are weak tire fat cowardli and have fuck ruin argentina and now we have to clean them up from the taint of itali sincer go slit your wrist vertic for most effect goddamn fuck dago
172	390196499 white woman arent loyal to them whi doe pol still simp for them there are time when i want to grab my favourit hunt knife and just go to a local grade school and just start cut some refuge nigger child to piec and post their fuck remain all over tik tok 4chan youtub imgr a well a twitter facebook instagram along with the hash tag blm and waconda4ev georgefloyd tributetogeorgefloyd and then post a photo of my driver licens show that i wa born in thi countri right along side their sever head and then let see if the medium take the bait
173	shitskin detect onli indian kike and irrelev american cuckserv neocon support israel the palestinian are a stupid militarili and polit incompet race of dirt peopl and it a shame that palestin wa put in their hand but palestin is the white man creation hadrian destroy judea when those shifti littl nose men had an upris and start massacr tortur and enslav christian and roman civilian he wipe them off the face of the map burn their town slaughter their armi enslav the survivor ban judaism and renam judea to syria palaestina a name stem from the word phillistin he name it after the biblic enemi of the jew to further humili them even if you ignor the subvers of western societi carri out by jewish hand who know they can run away to israel when thing get bad it should still be palestin ani white man who support israel is a coward and a race traitor
174	172296819 look at thi curri nigger duck hahaahahah look at that ugli nigger face ahahahahaha
175	ani conserv who support gay and lesbian over transgend peopl is a fraud that conserv is support monkeypox spread poop on dick gay anal sex and the weird thing lesbian do if you support lesbian you are teach your 6 year old daughter to do those thing gay and lesbian are sexual pervert who insist on tell the public about their pervers transgender affirm tradit gender role and is nonsexu transgend can be celib ani conserv who support nonwhit over white transgend peopl is a race traitor who deserv everyth they are go to get a white genocid continu your extinct is guarante if you take the nonwhit side the nonwhit are evil and will turn on you
176	i came across alot of white american and european on the internet and they were liter nigger lover i tri to convinc them that black are subhuman and i brought up the statist and everyth but theyr ignor the obviou fact like dont they know nigger in real life and what they can do
177	390198792 white are total unifi so are black and asian and arab too huh nah arab fuck over other arab jew fuck over other jew nig fuck over other nig i mean just look at black on black crime high af look at white peopl tranni and christian sometim both were in a new fuck up era and it need to chang from thi bullshit save my cultur that probabl also full of pedo and rapist and brutal sick fuck to fuck globo homo the reason we even hate so mani other race are becaus the fake jew i mean shit if not the fake jew then itd be the brit or the ottoman or whatev tf the next globohomo is but for rn i got hate for thee globo homo chang polici in the worst way in my countri and countri around the world u hate nigger and hate regular normal jewish peopl that arent talmud zionist crazi fuck or mexican aint go to fix shit how tf did such a small minor of peopl fractur the whole world and indoctern them with such fuckin stupid belief wether it be pro tranni or pro illog racism like il say it yah i do hate roundi ghetto loud as black peopl but imma say it some of the funniest mother fucker i met are black the best peopl in sport are nigger the best rapper are mainli nigger what am i gon na listen to nf while he play a piano talk about hi sad whatev tf no im go to listen to a uneduc hate fill nigger that know how to smack hi lip right look all im say is all thi hate on here just seem so fuckin low iq sometim
178	the number of black american in the middl class ha grown tremend in the past few year theyr get educ and leav their ghetto in record number for a better life multipl success black famili live in my upper middl class neighborhood alon anonym 080822mon110945 no390199811 390199691 statist made by obamaa nigger i persum
179	constantli while cite my privledg a justif to not hire promot help cut in line verbal denigr ect it all so tiresom my kid are gon na be pure 1488 save the the asian fuck the chine thou time to reignit white hot hatr
180	390176971 that nigger doesnt even look human
181	i keep say thi but retard dont believ me hitler unleash what can not be stop anymor nation social will rise far greater than ani religion and will be the death blow of jew
182	390193727 nigger roasti nurs from houston i dont think i couldv made a shittier demograph if i tri fuck thi nigger whore and fuck nurs woman shouldnt drive
183	the base stabberman action wa perfectli justifi moral and legal moral 1 the nigger whitoid thief jump the counter corner base stabberman in the corner 2 stabberman counterattack immedi he did not have the moral requir to give the crimin the initi in a fight 3 onc the fight start stabberman had to fight until the threat is neutralis onc the threat is neutralis he stop immedi 4 the fact that nigger whitoid thief went straight for the stuff is irrelev sinc selfdefens decis is made second befor action and you can not be expect to chang your mind within millisecond of new inform 5 the posit of stab is irrelev sinc in the mele you can not be expect to onli precis stab at pol approv locat legal 1 base stabberman wa act in defens of hi life and properti and thu act in selfdefens 2 he onli use the forc necessari to defend himself stop immedi after the threat is neutralis and call for help 3 polic alreadi talk to and chosen to not charg him
184	hitler wa just the begin a mere drop in the ocean of what is yet to come mayb it wont happen in our timelin but be sure that at some point it will simpli becaus it the onli true polit system that can move mankind to infin and beyond dont fall for the jewish lie tell you that nation social die in 1945 they want you to believ that so they never feel threaten again
185	390201959 i dont have to cope becaus i know the truth all you have is jewish produc nigger porn and that it
